"","sexo","I(cae_general == ""Ocupado"" | cae_general == ""Desocupado"" | cae_general == ""Busca Trabajo Primera Vez"")/I(edad >= 15)","se.I(cae_general == ""Ocupado"" | cae_general == ""Desocupado"" | cae_general == ""Busca Trabajo Primera Vez"")/I(edad >= 15)"
"245","2",0.437387299408498,0.0107354702404407
"146","1",0.652233216188661,0.012270253894752
"246","2",0.433115773403016,0.0108857340002437
"147","1",0.651779802168509,0.0127431228123959
"247","2",0.421656310159663,0.0111804770469172
"148","1",0.65020335800662,0.0120227518379403
"248","2",0.426235820435361,0.0107239519886166
"149","1",0.65533193417661,0.0121817531674526
"249","2",0.430936034947242,0.0111292316284535
"150","1",0.6617219465011,0.0119503213745732
"250","2",0.438546262749035,0.0111201719345935
"151","1",0.651017267000214,0.0121594880360881
"251","2",0.42834158869516,0.0114698015050534
"152","1",0.644076313380176,0.0119223707391462
"252","2",0.424912059077367,0.011076044399354
"153","1",0.635036908077758,0.0116722999621088
"253","2",0.421563887286778,0.0106979308957508
"154","1",0.639450697690411,0.0123679833257105
"254","2",0.432046520096081,0.0104052892199713
"155","1",0.648354322220795,0.0123503735953937
"255","2",0.437470963196403,0.0109806335466833
"156","1",0.647638035717792,0.0124072733452334
"256","2",0.435566642420675,0.012100317726763
"157","1",0.663510554720357,0.0117640816815415
"257","2",0.435837382155949,0.0122728291237273
"158","1",0.658111152366956,0.0119009243527139
"258","2",0.422822542238892,0.0117104396534112
"159","1",0.652779174227076,0.0117743102756476
"259","2",0.432654522197463,0.0109512129338009
"160","1",0.655994797513379,0.0110913559833718
"260","2",0.429397024823641,0.0106456834449665
"161","1",0.65935512178394,0.0109982699576059
"261","2",0.441529280992617,0.0119351598633385
"162","1",0.660837338764672,0.0107371208373358
"262","2",0.448848872461434,0.0119546000996636
"163","1",0.65678256050244,0.0112005393889243
"263","2",0.45090023599648,0.0121074823367903
"164","1",0.656146066518564,0.0106659838796691
"264","2",0.446894141561854,0.011292319110027
"165","1",0.653988656807565,0.0109997889306208
"265","2",0.453302142688534,0.0116766761673202
"166","1",0.650400859726388,0.0111885819046935
"266","2",0.464398754680568,0.0113933990879514
"167","1",0.646554760116258,0.0118520164827284
"267","2",0.452099644776033,0.0118292390131846
"168","1",0.650358115706952,0.0115789815538932
"268","2",0.447216444327385,0.0116554362020706
"169","1",0.650809731653739,0.0106374439080036
"269","2",0.444726263460737,0.0119477743391074
"170","1",0.652898868775672,0.0107049419581654
"270","2",0.446971953612151,0.0113905182481979
"171","1",0.65131066776608,0.0110596916655112
"271","2",0.442702301962852,0.0112759746049211
"172","1",0.654670825391552,0.0109849105847821
"272","2",0.439579713320872,0.0110614979662344
"173","1",0.665383784939941,0.0112589788456981
"273","2",0.43784586283695,0.0108487152682701
"174","1",0.661333614226625,0.0120276496205252
"274","2",0.440141658754843,0.0108206457302172
"175","1",0.667827500642969,0.012162380521717
"275","2",0.446233910744767,0.0116543232788245
"176","1",0.665971832611202,0.012371441405497
"276","2",0.44977492716547,0.011604604833978
"177","1",0.662086893916962,0.0128752948767578
"277","2",0.441185746653931,0.0125891625924895
"178","1",0.653705390613945,0.0124127589743768
"278","2",0.438431580762753,0.0122284961687945
"179","1",0.652005299488678,0.0119376295617567
"279","2",0.442126116623244,0.0128387428082168
"180","1",0.652718051748991,0.0121893943452977
"280","2",0.44011970682133,0.0123247118854503
"181","1",0.6420692667698,0.0126731313934508
"281","2",0.428476384241926,0.0118204643701248
"182","1",0.645524807324061,0.0133290951187218
"282","2",0.426501910637768,0.0116661548018765
"183","1",0.64099322088302,0.0130854107976153
"283","2",0.42325989741178,0.0116105500262526
"184","1",0.655036735494693,0.0130269870033521
"284","2",0.423762185192003,0.0117421788558438
"185","1",0.65804798342611,0.0127536806202315
"285","2",0.426212619150446,0.0115019425634326
"186","1",0.666438463663688,0.0121947923476643
"286","2",0.436846411826617,0.011207543289102
"187","1",0.663874849706908,0.0130918642047648
"287","2",0.446213451413897,0.0113968579892276
"188","1",0.65943614732322,0.0132696432252588
"288","2",0.447273333497268,0.0121877205868611
"189","1",0.662711814126798,0.0122094148442458
"289","2",0.448264331790225,0.012354566024506
"190","1",0.663150087681581,0.0118055419733554
"290","2",0.45045283814728,0.0123801745736743
