,desocupados.nuble,fuerza.trabajo.nuble,ocupados.nuble,ocup_cuenta_propia_nacional,ocup_cuenta_propia_nuble,tasa.desempleo.nuble,tasa.ocupados.nuble,tasa.participacion.nuble,tasa.promedio.subempleo.nacional,tasa.promedio.subempleo.nuble,t_ocup_cuenta_prop_nacional,t_ocup_cuenta_prop_nuble,quarter,year
26,16390.36142019,218105.40825143,201715.04683124,1469110.71319118,45081.87169251,0.0751488078704373,0.546879998565191,0.591316747190373,0.0705316629490813,0.133975272192013,0.192981977417438,0.227623146695572,ene-mar,
27,19217.28290188,216435.26255305,197217.97965117,1493119.82069312,49401.19106577,0.0887899812405554,0.534130247788179,0.586176882158697,0.0729456524347252,0.133091486204535,0.195919946083608,0.256074997864466,,
28,19490.29623766,213269.64197588,193779.34573822,1495170.6151783,49347.19877804,0.0913880478116256,0.52427207084779,0.577003273603315,0.076084988597432,0.116975954017473,0.196378726086798,0.260113375525336,,
29,18653.2978546,212152.60202815,193499.30417355,1492769.21956856,50147.3644071,0.0879239645249552,0.522972505799373,0.573386960580528,0.0790263323256323,0.109023402952132,0.1968511682101,0.263908544840603,abr-jun,
30,17851.81287306,209993.75614301,192141.94326995,1486170.06612254,46400.35291958,0.0850111603361319,0.518764156308767,0.566962277375253,0.0786545251183435,0.113456114216262,0.196813745204182,0.244904378458855,,2012
31,18580.640682,210069.50431996,191488.86363796,1515921.7518614,46663.46203244,0.0884499667962255,0.516447346649276,0.566559517127268,0.0805563242003741,0.115769185317027,0.200814347892176,0.256887356345812,,
32,20508.07521449,213644.5646798,193136.48946531,1545049.81633992,47772.69907166,0.0959915607739729,0.520329675994109,0.575580551482012,0.0786145015015851,0.10900790178824,0.203088464392703,0.256349815132676,jul-sep,
33,20710.56228537,218447.48894376,197736.92665839,1553320.02515744,48292.00153578,0.09480796682768,0.532151694542702,0.587888177360258,0.0809560079363013,0.1039272248962,0.203500323224958,0.253324302962333,,
34,16372.54058845,220091.61031149,203719.06972304,1530180.76824942,49076.05667274,0.0743896624013899,0.547681964811511,0.591698193683109,0.0805041497751213,0.113812121919815,0.199372188507356,0.241683302263478,,
35,12844.31108605,219037.38174074,206193.07065469,1481980.80673813,46744.29207478,0.0586398129121766,0.553730206312345,0.588223523692197,0.0757098989168329,0.108939642278173,0.19247926069766,0.230392451779345,oct-dic,
36,12799.85791257,225320.94386088,212521.08594831,1453877.45935104,47548.44875961,0.0568072265864154,0.57011316883977,0.604450314834822,0.0703450155547943,0.115953883458574,0.187780781766379,0.224888302939199,,
37,13700.18319023,223951.0830754,210250.89988517,1435485.69833648,42697.39667048,0.0611748914186649,0.563423078367287,0.600136354702613,0.0644097540438412,0.106110054819431,0.185595542574562,0.206744160274717,,
38,15095.36320712,223698.51177265,208603.14856553,1469964.15438224,42938.73423865,0.0674808387749212,0.558410424303712,0.598819249537041,0.0659502937355459,0.111141987200816,0.190175782008307,0.210867555312279,ene-mar,
39,15452.76588761,218625.69569905,203172.92981144,1492288.20811219,42742.43883366,0.0706813800555336,0.543299782092497,0.584621646906164,0.068391264720882,0.11715049976579,0.192470600413905,0.217261812971191,,
40,17164.92129421,217042.08667062,199877.16537641,1515386.14871753,44178.83012748,0.079085681295809,0.533919845111454,0.579771466538524,0.0720780094006973,0.124711648746305,0.195210892824102,0.228679496627124,,
41,15699.14405864,212113.17385612,196414.02979748,1536511.55234527,41860.52972008,0.0740130552630786,0.524111768184198,0.566003409835439,0.0746493832971175,0.115833867135961,0.198187229285462,0.220597962923135,abr-jun,
42,12832.50268932,207319.61797691,194487.11528759,1549320.68599041,43651.76495145,0.0618971943636767,0.518411118689433,0.552616531551455,0.0768153129264065,0.13322758369363,0.200207840774842,0.233680287709586,,2013
43,13362.11457418,208772.89138385,195410.77680967,1566895.66887796,45715.73096267,0.0640031111587778,0.52031008347302,0.555888689028841,0.0789576765464369,0.141485436804793,0.20214381788312,0.244651392600823,,
44,13026.12281926,210052.02678849,197025.90396923,1579682.76982799,46354.62230858,0.0620137925751916,0.524027362784917,0.558672780726282,0.0779856553330287,0.166089242989138,0.203596037486835,0.249986032688281,jul-sep,
45,16072.78734059,209136.45160388,193063.66426329,1592748.71016819,43863.56807994,0.0768531129668062,0.512933795609565,0.555636164530685,0.0767182258779124,0.134742080121632,0.204468690078074,0.238817901530793,,
46,15424.9625166,209424.52720715,193999.56469055,1591766.68763311,42052.60323659,0.073654040060659,0.514848543135362,0.555784302410166,0.0746053212389339,0.132136107412867,0.203266615872447,0.22700478802613,,
47,16388.79625803,212643.49794159,196254.70168356,1575865.78995558,40656.99397693,0.0770717017763306,0.520270034709639,0.563716635096124,0.0755176798004299,0.114593319707631,0.199374526512844,0.21535240686133,oct-dic,
48,16381.08661718,214680.39015985,198299.30354267,1562207.18914806,40974.30133802,0.0763045316108412,0.525119505604058,0.568498518802759,0.0757806155059281,0.116146863993821,0.197362875738461,0.213611743526233,,
49,15863.77509382,214183.14138803,198319.36629421,1570211.77492622,41122.24312534,0.074066404064361,0.524590569121121,0.56655312154543,0.0733219938177046,0.0982439483980382,0.197678588631425,0.210697806808504,,
50,17538.13467059,215090.53814608,197552.40347549,1578167.76144431,41091.480766,0.0815383829607552,0.521999834789069,0.568341480041146,0.0708512193764593,0.101689349839231,0.199900433765951,0.210667003678322,ene-mar,
51,17679.17649234,215249.098719,197569.92222666,1623114.20818565,40614.39140962,0.0821335680267797,0.521470163265783,0.568132949523747,0.0720277423177521,0.116763445098968,0.20489030614456,0.211034968854544,,
52,15741.9228957,217697.23553015,201955.31263445,1633890.20360143,41740.24875757,0.0723110831304967,0.532468836124512,0.573973480163301,0.0778689582960441,0.128077446947378,0.207244025418191,0.218321676024804,,
53,13497.1832695,213970.89795105,200473.71468155,1627063.94555883,43132.68054408,0.0630795280981984,0.527991747714762,0.563539557037346,0.0809420946682183,0.127451659285543,0.207174307412642,0.226817546754166,abr-jun,
54,14791.3558547,210032.10717802,195240.75132332,1595714.74940846,42666.80995696,0.0704242606210824,0.513645467402753,0.552559028429396,0.0788257894077904,0.125323337120079,0.204063917727415,0.23100524662948,,2014
