"","categoria","trabaja","se trabaja","mes"
"43","empleador",7869.56263925,2000.84171488671,8
"44","cuenta propia",42414.08805807,4409.13245616033,8
"45","asalariado sin contrato",28573.52619564,3387.31596679373,8
"46","asalariado con contrato definido",22607.21688606,2408.87401216469,8
"47","asalariado con contrato indefinido",62804.06224742,5236.50567262973,8
"48","no remunerado",5582.2230067,1674.84133009904,8
"49","empleador",5764.45705921,1459.67585746347,9
"50","cuenta propia",43087.47321496,4447.18038437843,9
"51","asalariado sin contrato",28389.58998078,3764.63204736718,9
"52","asalariado con contrato definido",23631.96337973,2587.20637918999,9
"53","asalariado con contrato indefinido",64233.03974331,4818.70265826254,9
"54","no remunerado",5097.25670593,1454.60498978459,9
"55","empleador",6174.9904592,1566.39886758619,10
"56","cuenta propia",45927.61895897,4687.17260232124,10
"57","asalariado sin contrato",32911.38970872,5443.15582793881,10
"58","asalariado con contrato definido",25317.25026097,2736.90281211985,10
"59","asalariado con contrato indefinido",62968.20795323,4218.94143702868,10
"60","no remunerado",6233.43881121,1615.86277855292,10
"61","empleador",8252.52538418,2864.42602797649,11
"62","cuenta propia",44473.23102048,4275.17826194342,11
"63","asalariado sin contrato",37269.27278062,7093.52623468693,11
"64","asalariado con contrato definido",27206.91243315,3142.09625083617,11
"65","asalariado con contrato indefinido",62952.25121923,4056.84174360289,11
"66","no remunerado",6060.3603142,1559.60431594447,11
"67","empleador",9836.84985906,3277.33717690123,12
"68","cuenta propia",46997.46097375,4490.18118463233,12
"69","asalariado sin contrato",38305.34066484,7075.2907679861,12
"70","asalariado con contrato definido",27181.38754393,3612.53522657348,12
"71","asalariado con contrato indefinido",64128.56753785,4290.22372312325,12
"72","no remunerado",5921.31504368,1617.85042402282,12
"73","empleador",8401.3006497,3241.9876895349,13
"74","cuenta propia",44580.22672207,4089.78207671971,13
"75","asalariado sin contrato",37459.17400324,6777.63725633999,13
"76","asalariado con contrato definido",27827.51498856,4222.83341043378,13
"77","asalariado con contrato indefinido",63188.89173539,4494.89054609405,13
"78","no remunerado",4419.57346717,1451.35146215943,13
"79","empleador",8274.64317905,2986.8866910988,14
"80","cuenta propia",48762.98650463,3962.86689150245,14
"81","asalariado sin contrato",36201.11339285,5742.12639975208,14
"82","asalariado con contrato definido",28208.88957041,4000.02882245657,14
"83","asalariado con contrato indefinido",62751.82607296,4853.1070120319,14
"84","no remunerado",1916.80850653,627.455779126809,14
"85","empleador",6644.31517849,2336.1426176454,15
"86","cuenta propia",45821.54642634,3789.36307943667,15
"87","asalariado sin contrato",37954.87119369,5659.21262821743,15
"88","asalariado con contrato definido",29470.26114441,3778.85384537593,15
"89","asalariado con contrato indefinido",63327.86672583,4959.97973349619,15
"90","no remunerado",1766.04255014,606.242004394884,15
"91","empleador",8404.25348078,2418.52642618866,16
"92","cuenta propia",47348.73199936,3679.30077326771,16
"93","asalariado sin contrato",33143.9283945,4451.71537302637,16
"94","asalariado con contrato definido",27589.59284499,3589.67872976609,16
"95","asalariado con contrato indefinido",64145.80038739,5616.54347672814,16
"96","no remunerado",1880.40962635,620.417415914445,16
"97","empleador",8221.89338784,2130.79750019647,17
"98","cuenta propia",46681.80089014,3657.50158930743,17
"99","asalariado sin contrato",32618.22684855,3810.98411390047,17
"100","asalariado con contrato definido",30423.56655448,4021.91855944619,17
