"MAC","MAC"
"MAC-CENTRALEUROPE","MAC-CENTRALEUROPE"
"MACCYRILLIC","MACCYRILLIC"
"MAC-CYRILLIC","MAC-CYRILLIC"
"MACINTOSH","MACINTOSH"
"MACIS","MACIS"
"MAC-IS","MAC-IS"
"MAC-SAMI","MAC-SAMI"
"MACUK","MACUK"
"MAC-UK","MAC-UK"
"MACUKRAINIAN","MACUKRAINIAN"
"MIK","MIK"
"MS932","MS932"
"MS936","MS936"
"MS-ANSI","MS-ANSI"
"MS-ARAB","MS-ARAB"
"MSCP1361","MSCP1361"
"MSCP949","MSCP949"
"MS-CYRL","MS-CYRL"
"MS-EE","MS-EE"
"MS-GREEK","MS-GREEK"
"MS-HEBR","MS-HEBR"
"MS_KANJI","MS_KANJI"
"MSMACCYRILLIC","MSMACCYRILLIC"
"MS-MAC-CYRILLIC","MS-MAC-CYRILLIC"
"MS-TURK","MS-TURK"
"OS2LATIN1","OS2LATIN1"
"OSF00010001","OSF00010001"
"OSF00010002","OSF00010002"
"OSF00010004","OSF00010004"
"OSF00010005","OSF00010005"
"OSF00010007","OSF00010007"
"OSF00010009","OSF00010009"
"OSF0001000A","OSF0001000A"
"OSF00030010","OSF00030010"
"OSF0004000A","OSF0004000A"
"OSF05010001","OSF05010001"
"OSF10010001","OSF10010001"
"OSF100201B5","OSF100201B5"
"OSF10020352","OSF10020352"
"OSF10020354","OSF10020354"
"OSF10020357","OSF10020357"
"OSF10020359","OSF10020359"
"OSF1002035D","OSF1002035D"
"OSF1002035E","OSF1002035E"
"OSF1002035F","OSF1002035F"
"OSF10020360","OSF10020360"
"OSF10020364","OSF10020364"
"OSF10020365","OSF10020365"
"OSF100203B5","OSF100203B5"
"PT154","PT154"
"R8","R8"
"R9","R9"
"RK1048","RK1048"
"ROMAN8","ROMAN8"
"ROMAN9","ROMAN9"
"RUSCII","RUSCII"
"SHIFT_JIS","SHIFT_JIS"
"SHIFT-JIS","SHIFT-JIS"
"SHIFT_JISX0213","SHIFT_JISX0213"
"SJIS","SJIS"
"SJIS-OPEN","SJIS-OPEN"
"SJIS-WIN","SJIS-WIN"
"STRK1048-2002","STRK1048-2002"
"ST_SEV_358-88","ST_SEV_358-88"
"TCVN","TCVN"
"TCVN-5712","TCVN-5712"
"TCVN5712-1","TCVN5712-1"
"TCVN5712-1:1993","TCVN5712-1:1993"
"THAI8","THAI8"
"TIS620","TIS620"
"TIS-620","TIS-620"
"TIS620-0","TIS620-0"
"TIS620.2529-1","TIS620.2529-1"
"TIS620.2533-0","TIS620.2533-0"
"TS-5881","TS-5881"
"TSCII","TSCII"
"UHC","UHC"
"UJIS","UJIS"
"UTF8","UTF8"
