"","sector","tramos_edad","mes","sexo","trabaja","se trabaja","cv","Freq"
"193","Electricidad, Gas y Agua",5,1,1,539.27154475,429.460718728393,79.64,2
"194","Electricidad, Gas y Agua",5,2,1,444.28563316,361.243001054324,81.31,2
"195","Electricidad, Gas y Agua",5,3,1,460.67712141,318.680590982107,69.18,3
"196","Electricidad, Gas y Agua",5,4,1,526.87645431,385.584364629467,73.18,3
"197","Electricidad, Gas y Agua",5,4,2,262.6109812,262.6109812,100,1
"198","Electricidad, Gas y Agua",6,1,1,254.03049621,254.03049621,100,1
"199","Hoteles y Restoranes",1,1,1,443.80946766,255.339668425168,57.53,3
"200","Hoteles y Restoranes",1,1,2,1914.65673566,830.972727492854,43.4,6
"201","Hoteles y Restoranes",1,2,1,1548.70530889,635.197577284827,41.01,9
"202","Hoteles y Restoranes",1,2,2,211.70397401,211.70397401,100,1
"203","Hoteles y Restoranes",1,3,1,484.18083565,484.18083565,100,1
"204","Hoteles y Restoranes",1,3,2,368.11376047,297.427273936928,80.8,2
"205","Hoteles y Restoranes",1,4,1,923.38796049,560.606376663791,60.71,4
"206","Hoteles y Restoranes",1,4,2,312.12595555,254.120982750254,81.42,2
"207","Hoteles y Restoranes",2,1,1,1296.24851441,709.412294511249,54.73,4
"208","Hoteles y Restoranes",2,1,2,1678.29481549,715.178948458861,42.61,9
"209","Hoteles y Restoranes",2,2,1,1759.69395951,953.103971171912,54.16,4
"210","Hoteles y Restoranes",2,2,2,2114.00183756,829.679460568884,39.25,9
"211","Hoteles y Restoranes",2,3,1,1263.96713223,646.537298100069,51.15,6
"212","Hoteles y Restoranes",2,3,2,1886.02898453,761.170744045017,40.36,7
"213","Hoteles y Restoranes",2,4,1,1381.05737401,692.647186545966,50.15,5
"214","Hoteles y Restoranes",2,4,2,1577.48796993,740.933486700704,46.97,6
"215","Hoteles y Restoranes",3,1,1,96.84335713,96.8433571300002,100,1
"216","Hoteles y Restoranes",3,1,2,737.29734538,500.516538565062,67.89,4
"217","Hoteles y Restoranes",3,2,1,459.7342634,239.026372552658,51.99,4
"218","Hoteles y Restoranes",3,2,2,578.00961418,501.072736406949,86.69,2
"219","Hoteles y Restoranes",3,3,1,814.8214707,429.148463306829,52.67,4
"220","Hoteles y Restoranes",3,3,2,779.23224571,521.234053033182,66.89,4
"221","Hoteles y Restoranes",3,4,1,543.21654133,326.994347579434,60.2,3
"222","Hoteles y Restoranes",3,4,2,1086.26884694,671.995365377874,61.86,3
"223","Hoteles y Restoranes",4,1,1,255.31719234,172.149517976381,67.43,3
"224","Hoteles y Restoranes",4,1,2,268.43060345,136.27677439479,50.77,4
"225","Hoteles y Restoranes",4,2,1,908.88125845,771.723136033116,84.91,4
"226","Hoteles y Restoranes",4,2,2,763.73989743,419.526680066025,54.93,5
"227","Hoteles y Restoranes",4,3,1,45.59651692,45.59651692,100,1
"228","Hoteles y Restoranes",4,3,2,142.22038646,99.2507554080953,69.79,2
"229","Hoteles y Restoranes",4,4,1,459.89312261,459.89312261,100,1
"230","Hoteles y Restoranes",4,4,2,241.50821577,241.50821577,100,1
"231","Hoteles y Restoranes",5,1,2,1444.65567963,577.438695637899,39.97,7
"232","Hoteles y Restoranes",5,2,2,684.90715149,406.604087851599,59.37,4
"233","Hoteles y Restoranes",5,3,2,1086.62618238,527.052501166625,48.5,5
"234","Hoteles y Restoranes",5,4,2,1217.46892448,543.94304608185,44.68,6
"235","Hoteles y Restoranes",6,1,2,535.26550071,535.26550071,100,1
"236","Hoteles y Restoranes",6,2,2,553.68731664,553.687316640001,100,1
"237","Hoteles y Restoranes",6,3,2,557.10457226,557.10457226,100,1
"238","Hoteles y Restoranes",6,4,2,552.68226301,552.682263010001,100,1
"239","Industria Manufacturera",1,1,1,1449.67081498,771.767113917082,53.24,4
"240","Industria Manufacturera",1,1,2,1091.5246998,602.262368498593,55.18,6
"241","Industria Manufacturera",1,2,1,2714.98365428,1256.6447185051,46.29,7
"242","Industria Manufacturera",1,2,2,1227.16910747,687.975668660922,56.06,4
"243","Industria Manufacturera",1,3,1,1843.35841421,1015.70631237274,55.1,5
"244","Industria Manufacturera",1,3,2,1025.27862461,613.582587322727,59.85,3
"245","Industria Manufacturera",1,4,1,2950.18652206,1302.21876341656,44.14,9
"246","Industria Manufacturera",1,4,2,457.85932573,457.85932573,100,1
"247","Industria Manufacturera",2,1,1,2496.6982085,977.923330353204,39.17,8
"248","Industria Manufacturera",2,1,2,337.52992627,210.806671971815,62.46,3
"249","Industria Manufacturera",2,2,1,3118.34209904,952.986007064547,30.56,14
"250","Industria Manufacturera",2,2,2,1065.27647249,525.659187190091,49.34,4
"251","Industria Manufacturera",2,3,1,2957.36069005,866.292296486277,29.29,13
"252","Industria Manufacturera",2,3,2,968.12372777,425.490329311238,43.95,7
"253","Industria Manufacturera",2,4,1,2860.29101554,887.351317232728,31.02,12
"254","Industria Manufacturera",2,4,2,770.85845935,349.157113043754,45.29,6
"255","Industria Manufacturera",3,1,1,2196.11835263,977.15198255781,44.49,15
