"","sector","educ","mes","trabaja","se trabaja","Freq","cv"
"32","Agropecuario-Silvicola",2,4,7163.93155168,1612.91059061346,27,0.225143216260242
"33","Agropecuario-Silvicola",3,1,649.9693265,434.639507513939,3,0.668707721723448
"34","Agropecuario-Silvicola",3,2,607.99602002,458.767546474225,2,0.754556824992265
"35","Agropecuario-Silvicola",3,3,188.79651872,188.79651872,1,1
"36","Agropecuario-Silvicola",3,4,264.87514898,203.168694144517,2,0.76703569559807
"37","Agropecuario-Silvicola",4,1,2287.4053332,1466.59223516859,7,0.641159751567458
"38","Agropecuario-Silvicola",4,2,2661.54031451,1408.60821622224,6,0.529245493123997
"39","Agropecuario-Silvicola",4,3,2197.50786589,1530.75500955731,5,0.696586816965656
"40","Agropecuario-Silvicola",4,4,2313.12153946,1634.87174235642,5,0.706781599871351
"41","Comercio",0,1,2272.51152874,700.993995530669,12,0.308466639955546
"42","Comercio",0,2,4329.10375002,1303.3772882964,19,0.301073239071801
"43","Comercio",0,3,4342.25915823,1383.8890446723,21,0.318702544975782
"44","Comercio",0,4,4151.95265889,1272.73609815291,20,0.306539164271966
"45","Comercio",1,1,10029.22467283,1778.91863438636,43,0.177373495202037
"46","Comercio",1,2,11068.7491394,2187.1416934529,46,0.197596102857514
"47","Comercio",1,3,9550.32718746,2041.91532077869,41,0.213805797508154
"48","Comercio",1,4,10305.50973377,2153.01846341597,45,0.208919162568036
"49","Comercio",2,1,18436.57800995,2766.97416643393,93,0.150080680099128
"50","Comercio",2,2,17502.10316767,2583.39570373687,93,0.14760487233951
"51","Comercio",2,3,20811.15000757,3420.93505463188,102,0.164379914295343
"52","Comercio",2,4,18493.07006165,2470.08261683462,94,0.133568012698819
"53","Comercio",3,1,2449.82175283,654.555985034636,17,0.267185146951406
"54","Comercio",3,2,2390.32570605,707.471835710801,15,0.295972985572704
"55","Comercio",3,3,2595.5486097,741.127718796113,17,0.28553798454261
"56","Comercio",3,4,2543.97726775,739.834266508833,16,0.290817954974564
"57","Comercio",4,1,1333.71083986,865.788689512214,5,0.649157721176725
"58","Comercio",4,2,106.70735659,75.9105273182148,2,0.711389821133744
"59","Comercio",4,3,825.36334384,428.891660980349,6,0.519639821881272
"60","Comercio",4,4,1069.89867655,526.731226738781,7,0.492318794558454
"61","Construccion",0,1,2028.74474304,777.773213439687,8,0.383376576135558
"62","Construccion",0,2,1336.37225382,617.086983636426,5,0.461762792419921
"63","Construccion",0,3,3039.5208808,1067.71773444849,10,0.351278302180135
"64","Construccion",0,4,3151.72760918,923.199748744369,15,0.292918634864059
"65","Construccion",1,1,5330.57442477,1274.44044258123,26,0.239081258608676
"66","Construccion",1,2,4140.83938014,1225.74047023313,17,0.296012561151718
"67","Construccion",1,3,5339.38824915,1352.60165446675,23,0.253325210932559
"68","Construccion",1,4,5071.00036166,1461.57317412548,24,0.288221863515512
"69","Construccion",2,1,5855.02890795,1699.79717158089,29,0.290314052809012
"70","Construccion",2,2,4396.09809464,1535.83352251851,22,0.349362887145556
"71","Construccion",2,3,3338.07106705,964.922981096253,22,0.289066038953148
"72","Construccion",2,4,4317.15310834,1303.51881655746,24,0.301939445705384
"73","Construccion",3,1,1012.66394026,853.835782164452,4,0.843158078626983
