"","sector","b1","mes","trabaja","se trabaja","Freq","cv"
"168","Industria Manufacturera",2,2,627.29188918,428.683190526927,4,68.34
"169","Industria Manufacturera",2,3,538.23992048,423.46475285121,3,78.68
"170","Industria Manufacturera",2,4,636.88635727,415.292122256102,4,65.21
"171","Industria Manufacturera",3,1,2107.89849586,1008.85655028323,5,47.86
"172","Industria Manufacturera",3,2,2564.97993004,1223.26466794619,6,47.69
"173","Industria Manufacturera",3,3,2892.23702772,1295.35113428727,6,44.79
"174","Industria Manufacturera",3,4,3679.34190116,1469.4841935096,8,39.94
"175","Industria Manufacturera",4,1,693.86669066,602.432244658504,2,86.82
"176","Industria Manufacturera",4,2,866.48081632,423.669844053372,5,48.9
"177","Industria Manufacturera",4,3,459.34054606,292.152730469373,3,63.6
"178","Industria Manufacturera",4,4,275.93587357,275.93587357,1,100
"179","Industria Manufacturera",5,1,441.74308305,381.514525320676,2,86.37
"180","Industria Manufacturera",5,2,954.24517488,529.518539552262,4,55.49
"181","Industria Manufacturera",5,3,1417.26519772,860.010225753015,4,60.68
"182","Industria Manufacturera",5,4,669.92578026,420.018099065755,3,62.7
"183","Industria Manufacturera",6,1,758.11529794,758.11529794,1,100
"184","Industria Manufacturera",6,2,298.6118891,298.6118891,1,100
"185","Industria Manufacturera",7,1,7461.70326055,1850.68426688125,34,24.8
"186","Industria Manufacturera",7,2,11141.2955152,2541.18015595188,49,22.81
"187","Industria Manufacturera",7,3,11886.52877521,1848.33089749522,55,15.55
"188","Industria Manufacturera",7,4,9676.82894271,1950.97524461836,39,20.16
"189","Industria Manufacturera",8,1,2786.68716044,840.391425359113,14,30.16
"190","Industria Manufacturera",8,2,3448.49926826,1127.31160785779,13,32.69
"191","Industria Manufacturera",8,3,4039.46023292,1207.93218980411,20,29.9
"192","Industria Manufacturera",8,4,4719.15511533,1208.31057299526,23,25.6
"193","Industria Manufacturera",9,1,3037.47442615,1061.80298778951,15,34.96
"194","Industria Manufacturera",9,2,3185.18316985,1226.69069757464,14,38.51
"195","Industria Manufacturera",9,3,3102.97906662,1251.45349137494,11,40.33
"196","Industria Manufacturera",9,4,3365.47182323,1185.51380570009,10,35.23
"197","Inmobiliarias",2,1,1977.44344693,1434.57596001815,7,72.55
"198","Inmobiliarias",2,2,3824.05223707,2196.06942922357,11,57.43
"199","Inmobiliarias",2,3,3803.22215204,2352.62502176993,12,61.86
"200","Inmobiliarias",2,4,2840.41341403,1700.23016930538,7,59.86
"201","Inmobiliarias",3,1,1353.36972888,516.279753326763,10,38.15
"202","Inmobiliarias",3,2,1514.58882082,557.850680081038,8,36.83
"203","Inmobiliarias",3,3,1849.04744865,593.105578766984,14,32.08
"204","Inmobiliarias",3,4,964.28570247,481.442793713829,5,49.93
"205","Inmobiliarias",4,1,1442.69287924,765.37505559001,4,53.05
"206","Inmobiliarias",4,2,183.15793702,132.806831473558,2,72.51
"207","Inmobiliarias",4,3,266.58827549,194.380524999348,2,72.91
"208","Inmobiliarias",4,4,835.12444847,405.956696163872,6,48.61
"209","Inmobiliarias",5,1,76.09120918,76.0912091800001,1,100
"210","Inmobiliarias",5,2,320.15701993,261.048082393393,2,81.54
"211","Inmobiliarias",5,3,77.38274677,77.3827467700001,1,100
"212","Inmobiliarias",5,4,262.6109812,262.6109812,1,100
"213","Inmobiliarias",7,1,260.88414575,260.88414575,1,100
"214","Inmobiliarias",7,2,1289.09070346,689.156243557585,4,53.46
"215","Inmobiliarias",7,3,463.93598825,463.93598825,1,100
"216","Inmobiliarias",7,4,823.65934488,501.005795368589,4,60.83
"217","Inmobiliarias",8,1,1209.66831936,907.728255922372,3,75.04
"218","Inmobiliarias",8,2,133.79879179,94.7562830302107,2,70.82
"219","Inmobiliarias",8,3,76.73813239,76.73813239,1,100
