"","date","sal_nom","ipc","sal_real","sal_nom_dig","sal_real_dig","sal_nom_ita","sal_real_ita","sal_nom_pun","sal_real_pun","sal_nom_p","sal_nom_im","sal_nom_ega","sal_nom_c","sal_nom_tc","sal_nom_ssp","sal_nom_ap","sal_nom_ane","sal_nom_agcs","sal_nom_emc","sal_nom_con","sal_nom_hr","sal_nom_if","sal_nom_aiea","sal_real_p","sal_real_im","sal_real_ega","sal_real_c","sal_real_tc","sal_real_ssp","sal_real_ap","sal_real_ane","sal_real_agcs","sal_real_emc","sal_real_con","sal_real_hr","sal_real_if","sal_real_aiea","sal_nom_hom","sal_nom_muj","sal_real_hom","sal_real_muj"
"102",2011-03-01,329165.928456159,91.83,405946.220163999,348487.402356742,429774.565141033,276758.29505814,341314.133892348,285033.077362933,351519.067966375,NA,346557.63592233,522436.074074074,297283.254994125,330943.193726937,375786.281711666,342830.049469965,347190.8,232412.200256739,501572.506849315,396427.086206897,245681.039669421,631116.656957929,313248.148318043,NA,427394.666973798,644298.000532385,366626.686573937,408138.045187582,463441.102078255,422797.594494974,428175.521071545,286623.99737641,618567.858005934,488896.52088567,302987.887864118,778329.10160607,386315.504704545,347216.30930072,290523.483305156,428206.980597915,358290.150106816
"103",2011-04-01,331016.994229072,92.42,405622.96685179,350428.16490325,429409.107068742,286191.314201619,350694.290557599,281442.665508857,344875.371877062,NA,342633.097415507,504480.024390244,302741.997197758,338765.468064824,381851.165995976,307190.111510791,380217.243243243,228926.675748102,494070.194444444,399796.585542169,245346.812913907,603703.201298701,316721.111053719,NA,419857.155186174,618181.808723167,370975.234609891,415117.823613301,467914.353484573,376425.883235199,465912.170496617,280523.112188623,605425.768457405,489904.385551294,300644.087454014,739768.313645076,388105.018684632,348902.062306849,292855.081115606,427539.045187737,358859.964686673
"104",2011-05-01,339178.336310978,92.33,416028.881048611,356834.466530055,437685.512125297,294084.911517925,360718.25224093,295199.079061372,362084.866280736,NA,359819.91638796,501607.8,306845.550223668,344188.935823755,378918.635947047,297735.107266436,358949.606060606,251624.025494277,505922.971428571,397307.944896981,253947.097807757,620166.325,315604.018219677,NA,441347.400963245,615261.381457814,376370.178304239,422174.775068128,464773.481219572,365195.50414734,440279.896960507,308636.639090511,620554.278287509,487329.413620526,311486.069822685,760682.72832503,387113.127514117,355889.641658241,301975.083370888,436526.610178661,370396.16800339
"105",2011-06-01,337918.406201876,92.7,412829.120845334,357461.216957118,436704.237544699,284067.501883949,347040.39469641,291233.481238616,355794.948762386,NA,344497.813114754,500274.186046512,299244.589901478,335198.014204545,384747.174353776,309796.126315789,329828.41025641,251826.421833598,500593.617647059,395693.356596558,242139.622366289,687219.093333333,323139.980213904,NA,420867.069420128,611176.392338376,365581.98280844,409505.66460264,470039.023684629,378472.613864759,402945.711559207,307652.020201241,611566.63644584,483411.786780585,295817.823441016,839563.779072276,394774.571296921,352237.470683709,306070.241698667,430322.476320712,373920.76453478
"106",2011-07-01,349100.555618375,92.79,426076.49449058,367789.334123457,448886.109381199,296003.809487952,361272.02742225,305084.462365591,372354.945176239,NA,364292.41952862,515662.034883721,316291.358272766,352291.500479386,383682.863659148,311028.753623188,428906.803278689,261490.362573099,504531.507462687,405669.082938389,266532.912974684,671375.59602649,327879.969371306,NA,444618.132467035,629364.429901729,386032.938079435,429971.035987612,468284.128778947,379609.940164092,523479.852045603,319148.437993356,615779.644575377,495118.26320479,325302.860161471,819412.504041384,400176.813571509,364726.265728561,313846.25909719,445147.640842327,383048.699674068
"107",2011-08-01,349876.683041346,92.86,426701.856067547,367904.98893567,448688.778774119,300618.920118343,366628.179015748,306428.774491682,373713.748774316,NA,370608.999333333,526887.337078652,313571.694951209,348865.137667304,380428.268605224,315974.616949153,417000.086206897,263879.147282609,510424.882352941,405551.712627669,256842.455974843,717818.22147651,327952.808364214,NA,451986.529986001,642580.13056383,382425.096416374,425468.197725847,463961.89338296,385355.646882312,508564.072398568,321821.16551535,622502.885273213,494601.889458147,313239.372594777,875435.209802011,399963.983924695,366364.231545996,312517.9489235,446809.705175361,381139.971091819
"108",2011-09-01,368509.280511673,92.97,448894.00901309,387669.842932448,472234.158460791,319008.305864885,388595.145091946,320773.373112339,390745.235075534,NA,393509.100398936,585038.043956044,334192.72519084,364893.394862036,404999.686149312,324987.418367347,448409.879310345,280768.877307275,551167.057142857,419557.670459718,268913.906040268,684536.315789474,347028.182250396,NA,479347.161666984,712655.248768656,407091.815939148,444489.372573148,493344.244986658,395878.510595913,546223.715520023,342014.363289759,671395.818236297,511077.833489976,327573.409261702,833857.564409572,422727.133912632,387128.283085633,326829.633439058,471574.465520576,398122.577035315
"109",2011-10-01,350646.340720598,93.22,425989.037616474,371001.312763916,450717.6428933,296036.812861272,359645.66677257,303667.943565038,368916.483680976,NA,375433.921621622,562510.318681319,319171.252673267,353461.672053232,389510.741747573,326423.200716846,389028.5,263462.551089588,527841.636363636,391251.023653088,256685.776377953,657037.421404682,341414.048657718,NA,456102.677790696,683375.816248223,387750.958648869,429409.293714101,473204.156864542,396561.118656756,472618.296771079,320072.23676138,641257.94162392,475318.369756621,311839.349654614,798213.77359022,414773.020923478,367203.565402094,314146.776978417,446103.880946012,381646.883638766
"110",2011-11-01,339892.355152587,93.43,411996.245542444,365298.078010949,442791.473132184,285475.22972973,346035.211033842,281370.619680048,341059.859560799,NA,374023.185016287,564787.371134021,313773.324468085,344406.439819005,385429.98705036,310038.243243243,404722.975903614,230732.179962894,528465.573170732,396123.445929019,257687.247557003,665131.039735099,335797.571957672,NA,453367.501906181,684599.912029625,380336.390838174,417467.936524695,467194.113597915,375808.959084847,490579.867505987,279679.111428853,640572.90122643,480156.055351187,312352.357763359,806230.228513325,407032.805567873,360035.860829064,297448.324887056,436412.942726014,360548.247816109
"111",2011-12-01,365456.713240585,94.15,439596.099569796,392980.60669748,472703.703754536,310099.514580802,373008.709785192,302448.423238844,363805.458648954,NA,417595.651192779,603904.268518519,334892.710860367,362466.78212766,427425.189097926,364350.981132075,373372.548780488,248154.734987745,523957.279069767,445707.053494392,262657.021523179,699066.173652695,358951.646279307,NA,502312.347292429,726416.977267363,402831.646361514,435999.607816861,514135.981575572,438266.050060622,449117.802967501,298497.331251855,630251.320814139,536126.646927667,315941.664232608,840884.165333698,431771.364218072,391348.926083416,314584.587869086,470741.007742399,378403.65986377
